country,year,attacking_midfield_market_value,central_midfield_market_value,centre-back_market_value,centre-forward_market_value,defensive_midfield_market_value,goalkeeper_market_value,left_winger_market_value,left-back_market_value,right_winger_market_value,right-back_market_value,second_striker_market_value,attacking_midfield_age,central_midfield_age,centre-back_age,centre-forward_age,defensive_midfield_age,goalkeeper_age,left_winger_age,left-back_age,right_winger_age,right-back_age,second_striker_age,right_midfield_market_value,right_midfield_age,left_midfield_market_value,left_midfield_age,striker_market_value,striker_age,midfielder_market_value,midfielder_age
Slovakia,2022,2500000,2075000,9416666.666666666,950000,20250000,1258333.3333333333,900000,150000,1600000,475000,NA,24.5,29.125,25.666666666666668,24.8,24.5,28,28.25,32,25,30.25,NA,566666.6666666666,24.333333333333332,NA,NA,NA,NA,NA,NA
Slovakia,2023,1800000,2243750,11828571.42857143,830000,30000000,2900000,958333.3333333334,NA,2000000,500000,NA,21,27.875,27.428571428571427,24.4,28,28,26.666666666666668,NA,29,29.5,NA,900000,25,NA,NA,NA,NA,NA,NA
Slovakia,2024,3200000,2256250,5745454.545454546,3287500,25000000,2820000,3425000,900000,1500000,631250,NA,23.5,28.25,27.09090909090909,26.25,30,29,27,25,31,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slovakia,2025,2637500,2308333.3333333335,7675000,3391666.6666666665,15000000,2183333.3333333335,4633333.333333333,525000,750000,500000,NA,22.5,27.666666666666668,28.625,26.666666666666668,31,31,25.666666666666668,24.5,32,29.666666666666668,NA,500000,28,NA,NA,NA,NA,NA,NA
Czech Republic,2018,7000000,2520000,1600000,5810000,4250000,9312500,950000,2125000,NA,1916666.6666666667,NA,27,28.2,27.3,26.6,25.5,26.75,26,28.5,NA,29.333333333333332,NA,8166666.666666667,27.333333333333332,7375000,24.5,NA,NA,NA,NA
Czech Republic,2019,2000000,1883333.3333333333,1742857.142857143,4578571.428571428,2600000,9000000,NA,2416666.6666666665,NA,1800000,NA,30,24.333333333333332,27.285714285714285,27.428571428571427,23,26.25,NA,26.333333333333332,NA,29,NA,7333333.333333333,26.333333333333332,9250000,24,NA,NA,NA,NA
Czech Republic,2020,4770000,3141666.6666666665,1906666.6666666667,3306250,14566666.666666666,2857142.8571428573,100000,2000000,950000,4766666.666666667,400000,25.6,26.166666666666668,27.866666666666667,28.75,26.333333333333332,27.285714285714285,18,31,25.5,26.666666666666668,22,3350000,29.25,5700000,25,NA,NA,NA,NA
Czech Republic,2021,12250000,3250000,2183333.3333333335,9962500,45000000,2085714.2857142857,1000000,1400000,1600000,4950000,NA,26,26.833333333333332,28.416666666666668,28.125,27,28.428571428571427,28,30,29,27,NA,2180000,29,4000000,26,NA,NA,NA,NA
Czech Republic,2022,4550000,4333333.333333333,1854166.6666666667,7257142.857142857,12633333.333333334,1600000,1600000,950000,4500000,4900000,650000,26.5,26,27.916666666666668,27.428571428571427,28.666666666666668,29.857142857142858,29,26.5,27.5,29,24,1137500,31.5,1000000,27,NA,NA,NA,NA
Czech Republic,2023,4350000,3666666.6666666665,2650000,4116666.6666666665,45000000,2316666.6666666665,275000,2350000,1575000,9000000,NA,25.6,25,26.444444444444443,24.166666666666668,27,28.5,22,25.5,22,30,NA,1700000,26.5,NA,NA,NA,NA,NA,NA
Czech Republic,2024,5400000,4180000,4330000,8600000,10000000,4714285.714285715,4000000,3650000,7500000,2133333.3333333335,NA,25.8,26.8,27.9,27.142857142857142,29.5,24.714285714285715,25,25,24,28.666666666666668,NA,3000000,27,4000000,24,NA,NA,NA,NA
Czech Republic,2025,3525000,3720000,4944444.444444444,6211111.111111111,12500000,3416666.6666666665,2500000,7000000,8000000,3687500,NA,24.375,24.6,26.666666666666668,27.77777777777778,27,24.333333333333332,24,24,27,27.5,NA,3000000,26,4000000,23,NA,NA,NA,NA
