date,home_team,away_team,home_team_last_5_games,away_team_last_5_games,home_elo_rating,away_elo_rating,result
2018-11-20,Italy,United States,8,4,1905,1751,win
2018-11-20,Japan,Kyrgyzstan,13,7,1706,1211,win
2018-11-20,Jordan,Saudi Arabia,6,6,1482,1570,tie
2018-11-20,South Korea,Uzbekistan,9,7,1760,1611,win
2018-11-20,Kuwait,Syria,5,7,1426,1610,lose
2018-11-20,Nigeria,Uganda,11,11,1695,1457,tie
2018-11-20,Panama,Ecuador,1,10,1670,1747,lose
2018-11-20,Peru,Costa Rica,4,6,1881,1744,lose
2018-11-20,Tunisia,Morocco,9,13,1618,1688,lose
2018-11-20,Turkey,Ukraine,5,8,1711,1738,tie
2018-11-20,Cambodia,Laos,4,0,814,785,win
2018-11-21,Philippines,Thailand,9,13,1163,1408,tie
2018-11-24,Vietnam,Cambodia,11,3,1274,814,win
2018-11-24,Malaysia,Myanmar,12,7,1066,1096,win
2018-11-25,Indonesia,Philippines,5,9,1237,1163,tie
2018-11-25,Thailand,Singapore,13,9,1408,1058,win
2018-12-01,Malaysia,Thailand,10,11,1066,1408,tie
2018-12-02,Philippines,Vietnam,8,13,1163,1274,lose
2018-12-05,Thailand,Malaysia,9,8,1408,1066,tie
2018-12-06,Vietnam,Philippines,13,5,1274,1163,win
2018-12-11,Malaysia,Vietnam,6,11,1066,1274,tie
2018-12-15,Vietnam,Malaysia,13,6,1274,1066,win
2018-12-16,Palestine,Pakistan,8,3,1411,952,win
2018-12-20,Jordan,Kyrgyzstan,5,10,1482,1211,lose
2018-12-23,Qatar,Jordan,10,4,1455,1482,win
2018-12-24,Palestine,Iran,8,11,1411,1800,tie
2018-12-25,Qatar,Kyrgyzstan,10,9,1455,1211,win
2018-12-25,Vietnam,North Korea,11,8,1274,1450,tie
2018-12-27,Bahrain,Lebanon,9,2,1420,1456,win
2018-12-27,India,Oman,5,11,1163,1516,tie
2018-12-27,Qatar,Algeria,10,10,1455,1535,lose
2018-12-28,Iraq,Palestine,8,8,1573,1411,win
2018-12-28,United Arab Emirates,Kuwait,5,7,1563,1426,lose
2018-12-29,Bahrain,North Korea,12,8,1420,1450,win
2018-12-30,Australia,Oman,10,10,1729,1516,win
2018-12-31,South Korea,Saudi Arabia,9,6,1760,1570,tie
2018-12-31,Kyrgyzstan,Palestine,9,5,1211,1411,win
2018-12-31,Philippines,Vietnam,2,11,1163,1274,lose
2018-12-31,Qatar,Iran,7,11,1455,1800,lose
2019-01-02,Oman,Thailand,10,6,1528,1384,win
2019-01-05,United Arab Emirates,Bahrain,5,10,1484,1432,tie
2019-01-06,Thailand,India,5,5,1384,1221,lose
2019-01-06,Australia,Jordan,10,5,1736,1448,lose
2019-01-06,Syria,Palestine,8,5,1599,1383,tie
2019-01-07,South Korea,Philippines,9,1,1778,1176,win
2019-01-07,Iran,Yemen,11,3,1823,1191,win
2019-01-08,Finland,Sweden,9,8,1620,1850,win
2019-01-08,Iraq,Vietnam,11,8,1582,1338,win
2019-01-08,Saudi Arabia,North Korea,9,5,1583,1431,win
2019-01-09,Qatar,Lebanon,9,1,1522,1455,win
2019-01-09,Uzbekistan,Oman,10,7,1591,1528,win
2019-01-10,Bahrain,Thailand,10,5,1432,1384,lose
2019-01-10,Jordan,Syria,7,8,1448,1599,win
2019-01-10,United Arab Emirates,India,8,5,1484,1221,win
2019-01-11,Estonia,Finland,7,6,1467,1620,win
2019-01-11,Iceland,Sweden,3,8,1668,1850,tie
2019-01-11,Palestine,Australia,2,10,1383,1736,lose
2019-01-11,Kyrgyzstan,South Korea,6,11,1291,1778,lose
2019-01-12,Vietnam,Iran,7,11,1338,1823,lose
2019-01-12,Yemen,Iraq,0,13,1191,1582,lose
2019-01-12,Lebanon,Saudi Arabia,1,11,1455,1583,lose
2019-01-13,North Korea,Qatar,4,9,1431,1522,lose
2019-01-13,Oman,Japan,4,13,1528,1730,lose
2019-01-14,India,Bahrain,4,10,1221,1432,lose
2019-01-14,United Arab Emirates,Thailand,8,5,1484,1384,tie
2019-01-15,Estonia,Iceland,8,3,1467,1668,tie
2019-01-15,Australia,Syria,12,7,1736,1599,win
2019-01-15,Palestine,Jordan,2,8,1383,1448,tie
2019-01-16,Kyrgyzstan,Philippines,6,0,1291,1176,win
2019-01-16,Iran,Iraq,11,13,1823,1582,tie
2019-01-16,Vietnam,Yemen,7,0,1338,1191,win
2019-01-17,Lebanon,North Korea,3,1,1455,1431,win
2019-01-17,Saudi Arabia,Qatar,8,9,1583,1522,lose
2019-01-17,Japan,Uzbekistan,13,7,1730,1591,win
2019-01-17,Oman,Turkmenistan,6,3,1528,1253,win
2019-01-20,Iran,Oman,13,6,1823,1528,win
2019-01-20,Jordan,Vietnam,9,7,1448,1338,tie
2019-01-21,Australia,Uzbekistan,10,7,1736,1591,tie
2019-01-21,Japan,Saudi Arabia,15,7,1730,1583,win
2019-01-21,United Arab Emirates,Kyrgyzstan,8,6,1484,1291,win
2019-01-22,South Korea,Bahrain,13,7,1778,1432,win
2019-01-22,Qatar,Iraq,12,10,1522,1582,win
2019-01-24,Vietnam,Japan,4,15,1338,1730,lose
2019-01-25,South Korea,Qatar,12,15,1778,1522,lose
2019-01-25,United Arab Emirates,Australia,11,7,1484,1736,win
2019-01-27,United States,Panama,4,1,1742,1565,win
2019-01-28,Iran,Japan,10,15,1823,1730,lose
2019-01-29,United Arab Emirates,Qatar,10,15,1484,1522,lose
2019-02-01,Japan,Qatar,12,15,1730,1522,lose
2019-02-02,United States,Costa Rica,7,6,1742,1724,win
2019-02-21,Kazakhstan,Moldova,8,8,1330,1323,win
2019-02-27,Cuba,Bermuda,15,7,1338,1181,win
